"","CD_MUN","year","chik_incidence","denv_incidence","yfv_incidence","zika_incidence"
"289",110145,2014,0,1.294610006,0,0
"290",110145,2015,0,20.7137601,0,0
"291",110145,2016,0,9.547748797,0,0
"292",110145,2017,0,2.427393762,0,0
"293",110145,2018,0,0.289170955,0,0
"294",110145,2019,0,0,0,0
"295",110146,2013,0,0,0,0
"296",110146,2014,0,0.949995836,0,0
"297",110146,2015,0,0,0,0
"298",110146,2016,0,21.37490631,0,2.37498959
"299",110146,2017,4.548250723,3.799983343,0,4.749979179
"300",110146,2018,23.2466148,2.526805957,0,9.096501445
"301",110146,2019,12.63402979,2.021444766,0,6.569695488
"302",110147,2013,0,0,0,0
"303",110147,2014,0,1.66808935,0,0
"304",110147,2015,0,0.278014892,0,0
"305",110147,2016,0,1.946104242,0,0.556029783
"306",110147,2017,0.63191851,0.278014892,0,0
"307",110147,2018,0,0.947877764,0,0
"308",110147,2019,1.579796274,0.63191851,0,0
"309",110148,2013,0,0,0,0
"310",110148,2014,0,9.327118945,0,0
"311",110148,2015,0,2.287783892,0,0
"312",110148,2016,0,8.623185439,0,0
"313",110148,2017,0,2.991717397,0,0
"314",110148,2018,0,1.175781158,0,0
"315",110148,2019,0,0.391927053,0,0
"316",110149,2013,0,0,0,0
"317",110149,2014,0,0.918336613,0,0
"318",110149,2015,0,1.561172242,0,0
"319",110149,2016,0,2.755009838,0,0
"320",110149,2017,0.117947399,0.413251476,0,0
"321",110149,2018,0,0.157263198,0,0
"322",110149,2019,0,0.353842196,0,0
"323",110150,2013,0,0,0,0
"324",110150,2014,0,2.094563905,0,0
"325",110150,2015,0,0.930917291,0,0
"326",110150,2016,0,5.818233069,0,0
"327",110150,2017,0,0.543035086,0,0
"328",110150,2018,0,0.478875516,0,0
"329",110150,2019,0,0,0,0
"330",110155,2013,0,0,0,0
"331",110155,2014,0,0,0,0
"332",110155,2015,0,0.634945061,0,0
"333",110155,2016,0,1.058241769,0,0.423296708
"334",110155,2017,0.233127291,0.634945061,0,0
"335",110155,2018,0.932509163,0.233127291,0,0
"336",110155,2019,0,0,0,0
"337",110160,2013,0,0,0,0
"338",110160,2014,0,0.712809647,0,0
"339",110160,2015,0,0.267303618,0,0
"340",110160,2016,0,1.96022653,0,0
"341",110160,2017,0,0.445506029,0,0
"342",110160,2018,0.468653549,0,0,0
"343",110160,2019,0,0,0,0
"344",110170,2013,0,0.096499874,0,0
"345",110170,2014,0,6.465491577,0,0
"346",110170,2015,0,4.149494594,0,0
"347",110170,2016,0,2.508996732,0,0.096499874
